                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.30826,                 1.7026,                0.47084,                0.27266,                 0.8866,                0.99927,                      1,                  0.995,                  0.995,                0.99927,                      1,                  0.995,                0.79394,                0.21816,                0.88316,                0.28207,                0.19105,                0.85048,              0.0013367,              0.0013367,              0.0013367
                     69,                0.26558,                 1.1633,                 0.4797,                 0.2285,                0.86688,                0.99926,                      1,                  0.995,                  0.995,                0.99926,                      1,                  0.995,                0.94471,                0.21866,                0.68657,                0.27961,                0.19842,                0.85398,              0.0013268,              0.0013268,              0.0013268
                     70,                0.27731,                 1.2667,                0.47844,                0.22788,                0.89614,                0.99925,                      1,                  0.995,                  0.995,                0.99925,                      1,                  0.995,                0.93031,                0.23347,                 0.4082,                0.28131,                0.17255,                0.84696,              0.0013169,              0.0013169,              0.0013169
                     71,                0.27243,                 1.1933,                0.46657,                0.24202,                0.89485,                0.99926,                      1,                  0.995,                  0.995,                0.99926,                      1,                  0.995,                0.97748,                0.22164,                0.30781,                0.28417,                 0.1641,                 0.8425,               0.001307,               0.001307,               0.001307
                     72,                0.26412,                 1.0424,                0.47545,                0.24447,                0.88507,                0.99925,                      1,                  0.995,                  0.995,                0.99925,                      1,                  0.995,                 0.9811,                 0.1738,                0.41167,                 0.2742,                 0.1481,                0.83561,              0.0012971,              0.0012971,              0.0012971
                     73,                0.24642,                 1.0648,                0.47223,                0.22624,                0.89297,                0.99925,                      1,                  0.995,                0.93272,                0.99925,                      1,                  0.995,                0.88141,                0.20685,                0.54266,                0.27045,                0.19696,                0.84959,              0.0012872,              0.0012872,              0.0012872
                     74,                0.24478,                 1.1784,                0.48456,                0.24234,                0.86785,                0.99925,                      1,                  0.995,                0.93429,                0.99925,                      1,                  0.995,                0.87954,                0.26486,                0.52008,                0.26953,                0.21068,                0.88573,              0.0012773,              0.0012773,              0.0012773
                     75,                0.26185,                 1.2965,                0.47869,                0.24315,                0.85408,                0.99926,                      1,                  0.995,                  0.995,                0.99926,                      1,                  0.995,                0.98861,                0.21599,                0.29326,                0.28093,                0.16524,                0.86338,              0.0012674,              0.0012674,              0.0012674
                     76,                0.23208,                0.89547,                0.46116,                0.22177,                0.85702,                0.99925,                      1,                  0.995,                  0.995,                0.99925,                      1,                  0.995,                 0.8091,                0.17416,                0.72165,                0.28258,                0.14902,                0.83783,              0.0012575,              0.0012575,              0.0012575
                     77,                0.25532,                 1.3532,                0.47471,                0.23006,                 0.8788,                0.99924,                      1,                  0.995,                  0.995,                0.99924,                      1,                  0.995,                0.89448,                0.16242,                0.50454,                0.27558,                0.15245,                 0.8367,              0.0012476,              0.0012476,              0.0012476
                     78,                0.28028,                 1.1204,                0.47852,                0.24225,                0.92137,                0.99925,                      1,                  0.995,                  0.995,                0.99925,                      1,                  0.995,                0.98775,                0.19697,                0.30672,                0.27411,                0.16034,                0.83934,              0.0012377,              0.0012377,              0.0012377
                     79,                0.25705,                0.99021,                0.45147,                0.22869,                0.86644,                0.99927,                      1,                  0.995,                  0.995,                0.99927,                      1,                  0.995,                0.98049,                0.16945,                0.33592,                0.27714,                0.17188,                0.83435,              0.0012278,              0.0012278,              0.0012278
                     80,                 0.2413,                0.85791,                0.46563,                0.22579,                0.86813,                0.99926,                      1,                  0.995,                  0.995,                0.99926,                      1,                  0.995,                0.99298,                0.19133,                 0.2384,                0.28116,                0.18915,                0.84318,              0.0012179,              0.0012179,              0.0012179
                     81,                0.23422,                0.94104,                0.48127,                 0.2142,                0.85198,                0.99926,                      1,                  0.995,                  0.995,                0.99926,                      1,                  0.995,                0.98672,                0.17076,                 0.2572,                0.28858,                0.15218,                0.84564,               0.001208,               0.001208,               0.001208
                     82,                0.23699,                 1.1584,                0.46531,                0.23333,                0.85201,                0.99925,                      1,                  0.995,                  0.995,                0.99925,                      1,                  0.995,                0.90069,                0.16968,                0.51493,                0.30732,                0.14465,                0.85004,              0.0011981,              0.0011981,              0.0011981
                     83,                0.25851,                0.93369,                0.46391,                0.22549,                0.86196,                0.99926,                      1,                  0.995,                  0.995,                0.99926,                      1,                  0.995,                0.97542,                0.17583,                0.31819,                 0.3077,                0.15484,                0.85443,              0.0011882,              0.0011882,              0.0011882
                     84,                 0.2495,                 1.0569,                0.46445,                0.23171,                0.87815,                0.99925,                      1,                  0.995,                  0.995,                0.99925,                      1,                  0.995,                0.97927,                0.19199,                0.29747,                0.28607,                0.16138,                0.85355,              0.0011783,              0.0011783,              0.0011783
                     85,                0.20555,                0.89601,                0.44305,                0.19352,                0.85722,                0.99926,                      1,                  0.995,                  0.995,                0.99926,                      1,                  0.995,                  0.995,                0.17183,                0.20982,                0.29182,                0.13958,                0.84866,              0.0011684,              0.0011684,              0.0011684
                     86,                 0.2163,                0.90551,                0.46891,                0.20269,                0.86533,                0.99925,                      1,                  0.995,                  0.995,                0.99925,                      1,                  0.995,                0.93612,                0.13647,                0.34749,                0.29068,                0.14208,                0.83565,              0.0011585,              0.0011585,              0.0011585
                     87,                0.23193,                 1.0439,                0.45905,                0.21234,                0.86895,                0.99926,                      1,                  0.995,                  0.995,                0.99926,                      1,                  0.995,                0.98458,                0.13275,                0.29906,                0.28955,                0.13226,                0.83679,              0.0011486,              0.0011486,              0.0011486
                     88,                0.22932,                 0.7784,                0.43784,                0.20703,                0.84551,                0.99926,                      1,                  0.995,                  0.995,                0.99926,                      1,                  0.995,                 0.9637,                0.17189,                0.35896,                0.29283,                0.15027,                0.85026,              0.0011387,              0.0011387,              0.0011387
                     89,                0.22754,                0.81751,                0.43665,                0.20983,                0.85925,                0.99927,                      1,                  0.995,                  0.995,                0.99927,                      1,                  0.995,                0.92322,                0.22293,                0.43613,                0.29495,                0.16462,                0.84875,              0.0011288,              0.0011288,              0.0011288
                     90,                0.27322,                  1.018,                0.45946,                0.22437,                0.85742,                0.99926,                      1,                  0.995,                  0.995,                0.99926,                      1,                  0.995,                0.98222,                0.22809,                0.31629,                0.29594,                0.15702,                0.84764,              0.0011189,              0.0011189,              0.0011189
                     91,                0.23454,                0.92796,                0.43765,                0.20537,                0.84134,                0.99926,                      1,                  0.995,                  0.995,                0.99926,                      1,                  0.995,                0.98128,                0.17846,                0.24455,                0.28593,                0.13807,                0.84886,               0.001109,               0.001109,               0.001109
                     92,                 0.2487,                0.84452,                0.45827,                 0.2125,                0.86391,                0.99926,                      1,                  0.995,                  0.995,                0.99926,                      1,                  0.995,                0.98072,                0.12892,                0.30905,                0.27088,                 0.1223,                 0.8282,              0.0010991,              0.0010991,              0.0010991
                     93,                0.23197,                0.94464,                0.44677,                0.20196,                0.84907,                0.99926,                      1,                  0.995,                  0.995,                0.99926,                      1,                  0.995,                0.99455,                0.13341,                0.20185,                0.28093,                0.12049,                0.82794,              0.0010892,              0.0010892,              0.0010892
                     94,                0.23729,                0.65879,                0.43217,                0.21014,                0.87281,                0.99926,                      1,                  0.995,                  0.995,                0.99926,                      1,                  0.995,                0.97136,                0.17917,                0.35174,                 0.2884,                0.15309,                0.83952,              0.0010793,              0.0010793,              0.0010793
                     95,                0.24754,                 0.8913,                0.44345,                0.21734,                0.87616,                0.99927,                      1,                  0.995,                  0.995,                0.99927,                      1,                  0.995,                0.97969,                0.17153,                 0.3005,                0.28282,                0.16758,                0.84999,              0.0010694,              0.0010694,              0.0010694
                     96,                0.26338,                0.97618,                0.44497,                0.21895,                0.86697,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                0.87117,                0.26493,                0.69114,                0.26872,                0.17989,                0.88468,              0.0010595,              0.0010595,              0.0010595
                     97,                0.23645,                0.89688,                0.44151,                 0.2002,                0.83905,                0.99926,                      1,                  0.995,                  0.995,                0.99926,                      1,                  0.995,                0.93716,                0.21553,                 0.5508,                 0.2753,                0.16818,                0.85543,              0.0010496,              0.0010496,              0.0010496
                     98,                0.26604,                0.96131,                0.46624,                0.21524,                0.87486,                0.99926,                      1,                  0.995,                  0.995,                0.99926,                      1,                  0.995,                0.97952,                0.18054,                0.29259,                 0.2904,                0.17745,                0.85591,              0.0010397,              0.0010397,              0.0010397
