                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                0.55838,                0.47948,                0.81651,                0.99814,                0.96667,                0.96519,                0.81857,                0.63601,                0.46664,                0.81857,              0.0010991,              0.0010991,              0.0010991
                     93,                0.55801,                0.46998,                0.81723,                0.99841,                0.96667,                 0.9652,                0.82238,                0.65501,                0.45967,                0.81739,              0.0010892,              0.0010892,              0.0010892
                     94,                0.56011,                0.47369,                0.79871,                0.99834,                0.96667,                 0.9652,                0.78872,                0.72222,                0.47208,                0.82776,              0.0010793,              0.0010793,              0.0010793
                     95,                0.59949,                0.47852,                0.83529,                 0.9981,                0.96667,                 0.9652,                0.80111,                0.66788,                0.46635,                0.82665,              0.0010694,              0.0010694,              0.0010694
                     96,                0.51122,                0.44749,                 0.8109,                 0.9978,                0.96667,                0.97192,                0.79266,                0.62424,                0.45133,                0.82177,              0.0010595,              0.0010595,              0.0010595
                     97,                0.52995,                0.46489,                0.80172,                0.99747,                0.96667,                0.97523,                0.80263,                0.62662,                0.45212,                0.82112,              0.0010496,              0.0010496,              0.0010496
                     98,                0.57137,                0.46265,                0.81123,                0.99742,                0.96667,                0.97611,                0.80391,                0.65509,                0.45342,                0.82225,              0.0010397,              0.0010397,              0.0010397
                     99,                0.51664,                0.45761,                0.79899,                0.99745,                0.96667,                0.97333,                0.79079,                0.74205,                0.48788,                0.82431,              0.0010298,              0.0010298,              0.0010298
                    100,                 0.5641,                 0.4662,                0.81688,                0.99727,                0.96667,                0.97066,                0.80167,                0.70964,                0.48375,                0.82205,              0.0010199,              0.0010199,              0.0010199
                    101,                0.58791,                0.46081,                0.81761,                 0.9977,                0.96667,                  0.975,                0.81097,                0.64528,                0.47139,                0.82545,                0.00101,                0.00101,                0.00101
                    102,                0.55375,                0.45518,                0.80376,                0.99812,                0.96667,                0.97975,                0.81362,                0.67463,                0.46471,                0.82991,              0.0010001,              0.0010001,              0.0010001
                    103,                0.55235,                0.44115,                0.81746,                0.99813,                0.96667,                0.98231,                0.82133,                0.69454,                0.46495,                0.82863,              0.0009902,              0.0009902,              0.0009902
                    104,                0.53657,                0.45812,                0.80985,                0.99787,                0.96667,                0.98375,                0.81568,                0.68875,                0.46503,                0.82041,              0.0009803,              0.0009803,              0.0009803
                    105,                0.53893,                 0.4579,                0.83376,                0.99766,                0.96667,                0.98545,                0.81252,                0.67204,                0.47057,                0.81667,              0.0009704,              0.0009704,              0.0009704
                    106,                0.53956,                0.45375,                 0.8099,                0.99746,                0.96667,                0.98375,                0.80503,                0.64026,                 0.4501,                0.81446,              0.0009605,              0.0009605,              0.0009605
                    107,                0.48866,                 0.4421,                0.82395,                0.99655,                0.96667,                0.98545,                0.82373,                0.61899,                0.45606,                0.81489,              0.0009506,              0.0009506,              0.0009506
                    108,                 0.5253,                0.43659,                0.80712,                0.99612,                0.96667,                0.97952,                0.82554,                0.63639,                 0.4697,                0.81704,              0.0009407,              0.0009407,              0.0009407
                    109,                0.54413,                0.45944,                0.81396,                0.99541,                0.96667,                0.97326,                0.80627,                 0.6837,                0.49825,                0.82401,              0.0009308,              0.0009308,              0.0009308
                    110,                0.53766,                0.45305,                0.82193,                0.99515,                0.96667,                0.97088,                0.80509,                0.71444,                0.49301,                0.82641,              0.0009209,              0.0009209,              0.0009209
                    111,                 0.5106,                0.43975,                 0.8182,                  0.996,                0.96667,                0.97077,                0.81023,                0.69471,                0.47707,                0.82717,               0.000911,               0.000911,               0.000911
                    112,                0.51784,                 0.4465,                0.82995,                0.99798,                0.96667,                0.97639,                0.81487,                0.64671,                0.46573,                0.82297,              0.0009011,              0.0009011,              0.0009011
                    113,                0.52824,                 0.4296,                0.80338,                0.99696,                0.96667,                0.97733,                0.82193,                 0.6338,                0.45442,                0.82351,              0.0008912,              0.0008912,              0.0008912
                    114,                0.54009,                0.43153,                0.82152,                0.99542,                0.96667,                0.97468,                0.81572,                0.64279,                0.46277,                0.82588,              0.0008813,              0.0008813,              0.0008813
                    115,                0.52706,                 0.4275,                0.81651,                0.99279,                0.96667,                0.97263,                0.79942,                 0.6557,                0.46198,                0.82853,              0.0008714,              0.0008714,              0.0008714
                    116,                0.52574,                0.42458,                0.80629,                 0.9885,                0.96667,                0.97006,                0.79034,                0.66237,                0.45304,                0.83166,              0.0008615,              0.0008615,              0.0008615
                    117,                0.52109,                0.43484,                0.82168,                0.98647,                0.96667,                0.97056,                0.81902,                0.64632,                0.45847,                0.82816,              0.0008516,              0.0008516,              0.0008516
                    118,                  0.488,                0.42239,                0.82129,                0.99107,                0.96667,                0.97192,                0.80828,                0.62751,                0.45424,                 0.8243,              0.0008417,              0.0008417,              0.0008417
                    119,                0.49429,                  0.432,                0.82259,                0.99475,                0.96667,                0.97182,                0.80147,                  0.642,                0.45067,                0.82794,              0.0008318,              0.0008318,              0.0008318
                    120,                0.52172,                0.43251,                0.80751,                0.99563,                0.96667,                0.97244,                 0.8168,                0.61405,                0.42905,                 0.8239,              0.0008219,              0.0008219,              0.0008219
                    121,                0.51569,                0.42423,                0.82478,                0.99737,                0.96667,                0.97238,                0.82892,                  0.614,                0.44897,                 0.8162,               0.000812,               0.000812,               0.000812
                    122,                0.48019,                0.41746,                 0.8218,                      1,                0.96566,                0.97349,                0.82239,                0.62383,                0.44185,                0.81416,              0.0008021,              0.0008021,              0.0008021
                    123,                0.50479,                0.41657,                0.81269,                      1,                0.96626,                0.97318,                0.83553,                0.60147,                0.43749,                0.81544,              0.0007922,              0.0007922,              0.0007922
                    124,                0.47789,                0.41108,                0.82249,                0.99677,                0.96667,                0.97365,                0.82383,                0.59128,                0.42231,                0.81761,              0.0007823,              0.0007823,              0.0007823
                    125,                0.49088,                0.41545,                0.78886,                0.99626,                0.96667,                 0.9725,                0.82709,                0.59634,                0.42877,                0.81571,              0.0007724,              0.0007724,              0.0007724
                    126,                0.48199,                 0.4111,                0.80605,                 0.9972,                0.96667,                0.97138,                0.84517,                 0.5927,                0.42759,                0.81339,              0.0007625,              0.0007625,              0.0007625
                    127,                0.47397,                0.39496,                0.80592,                0.99769,                0.96667,                0.96966,                0.83077,                0.63635,                0.43054,                 0.8127,              0.0007526,              0.0007526,              0.0007526
                    128,                0.50832,                0.41821,                0.82361,                0.99774,                0.96667,                0.96617,                0.81833,                0.64657,                0.43347,                0.81578,              0.0007427,              0.0007427,              0.0007427
                    129,                0.50875,                0.40562,                0.79897,                0.99772,                0.96667,                 0.9663,                0.83029,                0.62849,                0.43859,                0.81718,              0.0007328,              0.0007328,              0.0007328
                    130,                0.49246,                0.40699,                0.82513,                0.99779,                0.96667,                0.96634,                0.82195,                0.62908,                 0.4347,                0.82033,              0.0007229,              0.0007229,              0.0007229
                    131,                0.50714,                0.41943,                0.80618,                0.99769,                0.96667,                0.96631,                0.83585,                0.62436,                0.44403,                0.82205,               0.000713,               0.000713,               0.000713
                    132,                0.48652,                 0.4039,                0.81425,                0.99759,                0.96667,                 0.9663,                0.83517,                0.60736,                0.43529,                0.82192,              0.0007031,              0.0007031,              0.0007031
                    133,                0.47541,                0.40377,                0.79572,                0.99746,                0.96667,                0.96633,                0.83613,                0.63246,                0.41986,                0.82001,              0.0006932,              0.0006932,              0.0006932
                    134,                0.49286,                0.40425,                0.80265,                0.99741,                0.96667,                0.96638,                0.83459,                0.64167,                0.42946,                0.82042,              0.0006833,              0.0006833,              0.0006833
                    135,                0.48107,                0.39012,                0.79574,                0.99735,                0.96667,                0.96634,                0.83829,                0.62023,                0.43217,                0.82089,              0.0006734,              0.0006734,              0.0006734
                    136,                0.46924,                0.39905,                0.78278,                0.99732,                0.96667,                0.96753,                0.83196,                0.64413,                0.43562,                0.82622,              0.0006635,              0.0006635,              0.0006635
                    137,                0.49385,                 0.4047,                0.79714,                0.99738,                0.96667,                0.96893,                0.82105,                0.66535,                0.43024,                0.83397,              0.0006536,              0.0006536,              0.0006536
                    138,                0.47489,                0.38649,                0.79978,                0.99733,                0.96667,                0.96959,                 0.8222,                0.65287,                0.43749,                0.83159,              0.0006437,              0.0006437,              0.0006437
                    139,                0.45749,                 0.3967,                  0.787,                0.99716,                0.96667,                0.97104,                0.81566,                0.64872,                0.43215,                0.82063,              0.0006338,              0.0006338,              0.0006338
                    140,                0.47428,                0.39292,                0.81002,                0.99708,                0.96667,                0.97276,                0.80235,                0.67608,                0.42947,                0.82066,              0.0006239,              0.0006239,              0.0006239
                    141,                 0.5386,                0.40323,                0.80607,                0.99714,                0.96667,                0.97382,                0.82226,                0.66664,                0.43273,                 0.8227,               0.000614,               0.000614,               0.000614
                    142,                0.47535,                0.39333,                 0.8025,                0.99705,                0.96667,                0.97489,                0.82359,                0.65168,                0.42861,                0.82896,              0.0006041,              0.0006041,              0.0006041
                    143,                0.47778,                0.39218,                0.81791,                 0.9969,                0.96667,                0.97489,                0.80106,                0.66005,                0.43652,                0.83683,              0.0005942,              0.0005942,              0.0005942
                    144,                0.42059,                0.36727,                0.80325,                0.99704,                0.96667,                  0.975,                0.80738,                0.66386,                0.44223,                0.83722,              0.0005843,              0.0005843,              0.0005843
                    145,                 0.4702,                 0.3726,                 0.8026,                 0.9972,                0.96667,                0.97418,                0.82429,                0.62905,                0.43424,                0.83163,              0.0005744,              0.0005744,              0.0005744
                    146,                0.48855,                0.38736,                0.83655,                0.99741,                0.96667,                0.97428,                0.80798,                0.64427,                0.41266,                0.82598,              0.0005645,              0.0005645,              0.0005645
                    147,                0.47044,                0.38795,                0.79995,                 0.9978,                0.96667,                0.97333,                0.82294,                0.65998,                0.40134,                0.82277,              0.0005546,              0.0005546,              0.0005546
                    148,                0.44906,                0.36967,                0.79714,                0.99789,                0.96667,                0.97311,                0.81802,                0.65868,                0.39735,                0.82394,              0.0005447,              0.0005447,              0.0005447
                    149,                0.48254,                0.37604,                0.81863,                0.99798,                0.96667,                0.97326,                0.81431,                0.64806,                0.40438,                0.82687,              0.0005348,              0.0005348,              0.0005348
                    150,                0.42719,                0.36549,                0.81796,                  0.998,                0.96667,                0.97311,                0.82351,                0.65564,                 0.4169,                0.83137,              0.0005249,              0.0005249,              0.0005249
                    151,                0.44425,                0.37063,                0.79243,                0.99798,                0.96667,                0.97283,                0.82403,                0.64942,                0.41273,                0.83018,               0.000515,               0.000515,               0.000515
                    152,                0.47884,                0.37928,                0.80792,                0.99799,                0.96667,                0.97209,                0.83654,                0.62521,                0.39815,                0.82427,              0.0005051,              0.0005051,              0.0005051
                    153,                0.46608,                0.39058,                0.80201,                0.99794,                0.96667,                0.97304,                0.82588,                0.64118,                0.39921,                0.82048,              0.0004952,              0.0004952,              0.0004952
                    154,                  0.427,                0.37464,                0.81921,                0.99789,                0.96667,                0.97534,                0.82532,                0.65573,                0.41216,                0.82055,              0.0004853,              0.0004853,              0.0004853
                    155,                0.45351,                0.36452,                0.82506,                0.99784,                0.96667,                0.97768,                0.82546,                0.64028,                 0.4042,                0.81972,              0.0004754,              0.0004754,              0.0004754
